WARNING: TMPDIR not set; if /tmp is unavailable, set TMPDIR=$PWD/.tmp
TensorBoard logging enabled. Run: tensorboard --logdir=runs/triangle_fill_v21a_gnn_full_obs/tensorboard
update=  350 mean_rew=-1.3133 rollout_s=24.07 update_s=82.02 formation_loss=0.732 spacing_loss=0.311 lattice_loss=0.015 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.485 triangularity=0.300 boundary_triangularity=0.300 boundary_peak_count=1.606 boundary_corner_score=0.424 boundary_straightness=0.253 triangle_shape_score=0.325 collision_mean=0.000 action_mean=0.748 sinkhorn_entropy=1.060 speed_mean=0.007 ent_coef=0.0674 act_frac=[STOP 0.25, LEFT 0.25, RIGHT 0.26, STRAIGHT 0.24]
update=  360 mean_rew=-1.5456 rollout_s=28.72 update_s=82.12 formation_loss=0.736 spacing_loss=0.422 lattice_loss=0.015 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.483 triangularity=0.238 boundary_triangularity=0.238 boundary_peak_count=1.434 boundary_corner_score=0.373 boundary_straightness=0.244 triangle_shape_score=0.280 collision_mean=0.000 action_mean=0.743 sinkhorn_entropy=1.155 speed_mean=0.007 ent_coef=0.0670 act_frac=[STOP 0.26, LEFT 0.24, RIGHT 0.26, STRAIGHT 0.24]
update=  370 mean_rew=-1.6243 rollout_s=24.31 update_s=82.28 formation_loss=0.732 spacing_loss=0.467 lattice_loss=0.018 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.484 triangularity=0.333 boundary_triangularity=0.333 boundary_peak_count=1.575 boundary_corner_score=0.423 boundary_straightness=0.266 triangle_shape_score=0.343 collision_mean=0.000 action_mean=0.765 sinkhorn_entropy=1.082 speed_mean=0.008 ent_coef=0.0667 act_frac=[STOP 0.24, LEFT 0.26, RIGHT 0.25, STRAIGHT 0.25]
update=  380 mean_rew=-0.8985 rollout_s=24.51 update_s=82.27 formation_loss=0.745 spacing_loss=0.093 lattice_loss=0.012 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.478 triangularity=0.209 boundary_triangularity=0.209 boundary_peak_count=1.447 boundary_corner_score=0.366 boundary_straightness=0.235 triangle_shape_score=0.263 collision_mean=0.001 action_mean=0.760 sinkhorn_entropy=1.141 speed_mean=0.008 ent_coef=0.0663 act_frac=[STOP 0.24, LEFT 0.24, RIGHT 0.25, STRAIGHT 0.27]
update=  390 mean_rew=-1.9597 rollout_s=24.22 update_s=82.37 formation_loss=0.722 spacing_loss=0.640 lattice_loss=0.018 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.490 triangularity=0.336 boundary_triangularity=0.336 boundary_peak_count=1.608 boundary_corner_score=0.431 boundary_straightness=0.262 triangle_shape_score=0.346 collision_mean=0.000 action_mean=0.734 sinkhorn_entropy=1.068 speed_mean=0.007 ent_coef=0.0660 act_frac=[STOP 0.27, LEFT 0.25, RIGHT 0.26, STRAIGHT 0.23]
update=  400 mean_rew=-1.0294 rollout_s=24.95 update_s=82.30 formation_loss=0.716 spacing_loss=0.177 lattice_loss=0.013 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.493 triangularity=0.246 boundary_triangularity=0.246 boundary_peak_count=1.644 boundary_corner_score=0.438 boundary_straightness=0.260 triangle_shape_score=0.307 collision_mean=0.001 action_mean=0.749 sinkhorn_entropy=1.087 speed_mean=0.008 ent_coef=0.0656 act_frac=[STOP 0.25, LEFT 0.25, RIGHT 0.24, STRAIGHT 0.26]
update=  410 mean_rew=-2.3058 rollout_s=24.09 update_s=82.26 formation_loss=0.750 spacing_loss=0.797 lattice_loss=0.020 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.478 triangularity=0.321 boundary_triangularity=0.321 boundary_peak_count=1.389 boundary_corner_score=0.350 boundary_straightness=0.285 triangle_shape_score=0.320 collision_mean=0.000 action_mean=0.740 sinkhorn_entropy=1.085 speed_mean=0.007 ent_coef=0.0652 act_frac=[STOP 0.26, LEFT 0.25, RIGHT 0.25, STRAIGHT 0.24]
update=  420 mean_rew=-1.1655 rollout_s=24.59 update_s=82.67 formation_loss=0.712 spacing_loss=0.248 lattice_loss=0.014 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.494 triangularity=0.285 boundary_triangularity=0.285 boundary_peak_count=1.769 boundary_corner_score=0.483 boundary_straightness=0.253 triangle_shape_score=0.336 collision_mean=0.000 action_mean=0.743 sinkhorn_entropy=1.073 speed_mean=0.007 ent_coef=0.0649 act_frac=[STOP 0.26, LEFT 0.24, RIGHT 0.27, STRAIGHT 0.23]
update=  430 mean_rew=-1.9464 rollout_s=29.22 update_s=82.16 formation_loss=0.750 spacing_loss=0.616 lattice_loss=0.017 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.476 triangularity=0.273 boundary_triangularity=0.273 boundary_peak_count=1.473 boundary_corner_score=0.379 boundary_straightness=0.241 triangle_shape_score=0.297 collision_mean=0.000 action_mean=0.746 sinkhorn_entropy=1.136 speed_mean=0.007 ent_coef=0.0645 act_frac=[STOP 0.25, LEFT 0.25, RIGHT 0.26, STRAIGHT 0.24]
update=  440 mean_rew=-1.4540 rollout_s=24.21 update_s=82.33 formation_loss=0.710 spacing_loss=0.395 lattice_loss=0.015 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.496 triangularity=0.321 boundary_triangularity=0.321 boundary_peak_count=1.754 boundary_corner_score=0.488 boundary_straightness=0.270 triangle_shape_score=0.358 collision_mean=0.000 action_mean=0.736 sinkhorn_entropy=1.050 speed_mean=0.007 ent_coef=0.0641 act_frac=[STOP 0.26, LEFT 0.26, RIGHT 0.24, STRAIGHT 0.24]
